,radius,movement
98,0.11147849378417145,[  1.27602756 -13.68950912]
99,0.05276907128551534,[-1.98148148 -8.94444444]
100,0.06581459512288307,[  1.42929733 -14.69367015]
101,0.05943302791362329,[  1.56928735 -11.41037499]
102,0.11623400883211767,[  1.12009521 -12.13969325]
103,0.06382577789091295,[  1.43409283 -13.98362869]
104,0.058778699412617694,[ -4.3761791  -10.95223881]
105,0.10142710294380852,[  0.96134441 -13.31124755]
106,0.06422846818149976,[  1.45102201 -13.38883648]
107,0.04817135113612482,[  0.70849673 -12.99444444]
108,0.057447688377806304,[  3.33482143 -12.48676658]
109,0.05128231936691707,[ -0.02582956 -10.98076923]
110,0.058997615251972266,[ -5.55529101 -10.05793651]
111,0.12448149890370502,[ -0.80971971 -14.10733948]
112,0.06239589904724462,[  3.51994931 -14.08041043]
113,0.06422846818149976,[ -3.8202381 -12.1360119]
114,0.10795351570449638,[ -2.34882163 -15.32213144]
115,0.06522431777218035,[  4.25447154 -12.75768662]
116,0.1054159211720996,[ -1.34237239 -12.60063287]
117,0.04626010554261225,[-2.97820495e-03 -9.58697712e+00]
118,0.043680080789596086,[ 0.26276276 -8.28078078]
119,0.06442886950523666,[  3.9828698  -14.42580211]
120,0.0418718384251315,[ 1.89485294 -8.17941176]
121,0.05539123570498819,[  1.48921569 -14.83879552]
122,0.10937714003543697,[  4.07979664 -12.86149794]
123,0.06050785329926984,[ -3.0162199  -12.33611995]
124,0.052031005967529964,[  3.77734878 -10.71196911]
125,0.0611436800759377,[ -4.26785628 -10.96431155]
126,0.10687335330162032,[  3.85455416 -14.564104  ]
127,0.0611436800759377,[  4.21206897 -12.03745211]
128,0.05301280963235855,[  0.0418669  -12.34731324]
129,0.11228506704746523,[  4.19500259 -13.36959045]
130,0.0709063089736941,[  2.21065705 -14.68004808]
131,0.05000960683454773,[ -2.16971406 -11.54357129]
132,0.11422017770573131,[ -0.91838451 -13.26070741]
133,0.05103031627248249,[  0.92427993 -11.2270477 ]
134,0.058997615251972266,[  1.46970249 -12.17820279]
